Accession	Gene_name	Protein_name
Q9BQA9	C17orf62	Uncharacterized protein C17orf62
Q9BQB6	VKORC1;VKOR;MSTP134;MSTP576;UNQ308/PRO351	Vitamin K epoxide reductase complex subunit 1
Q9BQC6	MRPL57;MRP63	Ribosomal protein 63, mitochondrial
Q9BQE3	TUBA1C;TUBA6	Tubulin alpha-1C chain
Q9BQE5	APOL2	Apolipoprotein L2
Q9BQG0	MYBBP1A;P160	Myb-binding protein 1A
Q9BQI7	PSD2	PH and SEC7 domain-containing protein 2
Q9BQL6	FERMT1;C20orf42;KIND1;URP1	Fermitin family homolog 1
Q9BQN1	FAM83C;C20orf128	Protein FAM83C
Q9BQQ7	RTP3;TMEM7	Receptor-transporting protein 3
Q9BQS7	HEPH;KIAA0698;UNQ2562/PRO6242	Hephaestin
Q9BR17	NA	Mesothelin
Q9BR76	CORO1B	Coronin-1B
Q9BRB3	PIGQ;GPI1	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q
Q9BRG1	VPS25;DERP9;EAP20	Vacuolar protein-sorting-associated protein 25
Q9BRK5	SDF4;CAB45;PSEC0034	45 kDa calcium-binding protein
Q9BRP1	PDCD2L	Programmed cell death protein 2-like
Q9BRQ6	CHCHD6;CHCM1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial
Q9BRQ8	AIFM2;AMID;PRG3	Apoptosis-inducing factor 2
Q9BRR6	ADPGK;PSEC0260	ADP-dependent glucokinase
Q9BRX8	FAM213A;C10orf58;PAMM;PRO2290;PSEC0139;UNQ611/PRO1198	Redox-regulatory protein FAM213A
Q9BRY0	SLC39A3;ZIP3	Zinc transporter ZIP3
Q9BS26	ERP44;KIAA0573;TXNDC4;UNQ532/PRO1075	Endoplasmic reticulum resident protein 44
Q9BS86	ZPBP;ZPBP1	Zona pellucida-binding protein 1
Q9BSD7	NTPCR;C1orf57	Cancer-related nucleoside-triphosphatase
Q9BSE0	NA	Hypothetical protein
Q9BSF4	C19orf52	Uncharacterized protein C19orf52
Q9BSJ8	ESYT1;FAM62A;KIAA0747;MBC2	Extended synaptotagmin-1
Q9BSR8	YIPF4;Nbla11189	Protein YIPF4
Q9BSS5	CLPTM1	Cleft lip and palate transmembrane protein 1
Q9BSY1	NA	Uncharacterized protein KIAA2013
Q9BT09	CNPY3;CTG4A;ERDA5;PRAT4A;TNRC5;HSPC084;UNQ1934/PRO4409	Protein canopy homolog 3
Q9BT22	ALG1;HMAT1;HMT1;PSEC0061;UNQ861/PRO1870	Chitobiosyldiphosphodolichol beta-mannosyltransferase
Q9BT60	NA	Mitochondrial Rho GTPase 2
Q9BT67	NDFIP1;N4WBP5;PSEC0192;PSEC0223	NEDD4 family-interacting protein 1
Q9BT88	SYT11;KIAA0080	Synaptotagmin-11
Q9BTC0	DIDO1;C20orf158;DATF1;KIAA0333	Death-inducer obliterator 1
Q9BTM1	H2AFJ	Histone H2A.J
Q9BTS0	NA	Ras-related protein Rap-2c
Q9BTT0	ANP32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E
Q9BTT6	LRRC1;LANO	Leucine-rich repeat-containing protein 1
Q9BTU6	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha
Q9BTV4	TMEM43;UNQ2564/PRO6244	Transmembrane protein 43
Q9BTV7	CABLES2;C20orf150	CDK5 and ABL1 enzyme substrate 2
Q9BU23	LMF2;TMEM112B;TMEM153	Lipase maturation factor 2
Q9BUF5	TUBB6	Tubulin beta-6 chain
Q9BUL8	PDCD10;CCM3;TFAR15	Programmed cell death protein 10
Q9BUN1	MENT;C1orf56;UNQ547/PRO1104	Protein MENT
Q9BUN8	DERL1;DER1;UNQ243/PRO276	Derlin-1
Q9BUP0	EFHD1;SWS2;PP3051	EF-hand domain-containing protein D1
Q9BUR5	APOO;FAM121B;My025;UNQ1866/PRO4302	Apolipoprotein O
Q9BV02	NA	Hypothetical protein
Q9BV40	VAMP8	Vesicle-associated membrane protein 8
Q9BV81	EMC6;TMEM93	ER membrane protein complex subunit 6
Q9BVA1	TUBB2B	Tubulin beta-2B chain
Q9BVC4	MLST8;GBL;LST8	Target of rapamycin complex subunit LST8
Q9BVC6	TMEM109	Transmembrane protein 109
Q9BVG9	PTDSS2;PSS2	Phosphatidylserine synthase 2
Q9BVK2	ALG8;HUSSY-02	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
Q9BVK6	TMED9;GP25L2	Transmembrane emp24 domain-containing protein 9
Q9BVL2	NUPL1;KIAA0410	Nucleoporin p58/p45
Q9BVR0	HERC2P3	Putative HERC2-like protein 3
Q9BVS6	NA	Sequestosome-1
Q9BVT8	TMUB1;C7orf21;DULP;HOPS;SB144;UNQ763/PRO1555	Transmembrane and ubiquitin-like domain-containing protein 1
Q9BVV7	TIMM21;C18orf55;TIM21;HSPC154	Mitochondrial import inner membrane translocase subunit Tim21
Q9BW23	NA	Mitochondrial carrier homolog 1
Q9BW27	NUP85;NUP75;PCNT1	Nuclear pore complex protein Nup85
Q9BW34	EEF1D	EEF1D protein
Q9BW47	NA	DDRGK domain-containing protein 1
Q9BW60	ELOVL1;SSC1;CGI-88	Elongation of very long chain fatty acids protein 1
Q9BW99	NA	Protein OS-9
Q9BWM7	SFXN3	Sideroflexin-3
Q9BWS9	CHID1;GL008;PSEC0104;SB139	Chitinase domain-containing protein 1
Q9BWV7	TTLL2;C6orf104	Probable tubulin polyglutamylase TTLL2
Q9BX10	GTPBP2	GTP-binding protein 2
Q9BX67	JAM3;UNQ859/PRO1868	Junctional adhesion molecule C
Q9BX68	HINT2	Histidine triad nucleotide-binding protein 2, mitochondrial
Q9BX97	PLVAP;FELS;PV1	Plasmalemma vesicle-associated protein
Q9BXK5	BCL2L13;MIL1;CD003	Bcl-2-like protein 13
Q9BXM0	PRX;KIAA1620	Periaxin
Q9BXP2	SLC12A9;CCC6;CIP1	Solute carrier family 12 member 9
Q9BXP5	SRRT;ARS2;ASR2	Serrate RNA effector molecule homolog
Q9BXR3	ERVK6	HERV-K_7p22.1 provirus ancestral Pol protein
Q9BXS5	AP1M1;CLTNM	AP-1 complex subunit mu-1
Q9BXS9	SLC26A6	Solute carrier family 26 member 6
Q9BXW7	CECR5	Cat eye syndrome critical region protein 5
Q9BXW9	FANCD2;FACD	Fanconi anemia group D2 protein
Q9BY14	TEX101;SGRG;UNQ867/PRO1884	Testis-expressed sequence 101 protein
Q9BY50	SEC11C;SEC11L3;SPC21;SPCS4C	Signal peptidase complex catalytic subunit SEC11C
Q9BY57	NA	Partitioning defective 3 homolog
Q9BY67	CADM1;IGSF4;IGSF4A;NECL2;SYNCAM;TSLC1	Cell adhesion molecule 1
Q9BYC5	FUT8	Alpha-(1,6)-fucosyltransferase
Q9BYC5-1	FUT8 	Alpha-(1,6)-fucosyltransferase
Q9BYC9	MRPL20	39S ribosomal protein L20, mitochondrial
Q9BYD1	MRPL13	39S ribosomal protein L13, mitochondrial
Q9BYD2	MRPL9	39S ribosomal protein L9, mitochondrial
Q9BYD6	MRPL1;BM-022	39S ribosomal protein L1, mitochondrial
Q9BYF1	ACE2;UNQ868/PRO1885	Angiotensin-converting enzyme 2
Q9BYI3	FAM126A;DRCTNNB1A	Hyccin
Q9BYP7	WNK3;KIAA1566;PRKWNK3	Serine/threonine-protein kinase WNK3
Q9BYT3	STK33	Serine/threonine-protein kinase 33
Q9BYV2	TRIM54;MURF;MURF3;RNF30	Tripartite motif-containing protein 54
Q9BYV9	BACH2	Transcription regulator protein BACH2
Q9BYW3	DEFB126;C20orf8;DEFB26	Beta-defensin 126
Q9BYX2	TBC1D2;PARIS1;PP8997;TBC1D2A	TBC1 domain family member 2A
Q9BYX4	IFIH1;MDA5;RH116	Interferon-induced helicase C domain-containing protein 1
Q9BYX7	POTEKP;ACTBL3;FKSG30	Putative beta-actin-like protein 3
Q9BZB8	CPEB1;CPEB	Cytoplasmic polyadenylation element-binding protein 1
Q9BZE1	MRPL37;MRPL2;RPML2;HSPC235	39S ribosomal protein L37, mitochondrial
Q9BZE8	NA	OCIA domain-containing protein 1
Q9BZE9	ASPSCR1;ASPL;RCC17;TUG;UBXD9;UBXN9	Tether containing UBX domain for GLUT4
Q9BZF1	OSBPL8;KIAA1451;ORP8;OSBP10	Oxysterol-binding protein-related protein 8
Q9BZF1-2	OSBPL8	Isoform 2 of Oxysterol-binding protein-related protein 8
Q9BZG1	RAB34;RAB39;RAH	Ras-related protein Rab-34
Q9BZG9	LYNX1;SLURP2	Ly-6/neurotoxin-like protein 1
Q9BZM4	ULBP3;N2DL3;RAET1N	NKG2D ligand 3
Q9BZM5	ULBP2;N2DL2;RAET1H;UNQ463/PRO791	NKG2D ligand 2
Q9BZM6	ULBP1;N2DL1;RAET1I	NKG2D ligand 1
Q9BZQ8	FAM129A;C1orf24;NIBAN;GIG39	Protein Niban
Q9BZR6	RTN4R;NOGOR;UNQ330/PRO526	Reticulon-4 receptor
Q9BZS3	NA	Transmembrane and coiled-coil domain-containing protein 1
Q9BZZ5	API5;MIG8	Apoptosis inhibitor 5
Q9C005	DPY30	Protein dpy-30 homolog
Q9C013	NA	Ninein
Q9C075	KRT23	Keratin, type I cytoskeletal 23
Q9C0B5	ZDHHC5;KIAA1748;ZNF375	Palmitoyltransferase ZDHHC5
Q9C0C2	TNKS1BP1;KIAA1741;TAB182	182 kDa tankyrase-1-binding protein
Q9C0D9	EPT1;KIAA1724;SELI	Ethanolaminephosphotransferase 1
Q9C0E8	LNP;KIAA1715	Protein lunapark
Q9C0G6	DNAH6;DNAHC6;DNHL1;HL2;KIAA1697	Dynein heavy chain 6, axonemal
Q9C0H2	TTYH3;KIAA1691	Protein tweety homolog 3
Q9C0H5	ARHGAP39;KIAA1688	Rho GTPase-activating protein 39
Q9C0K3	ACTR3C;ARP11	Actin-related protein 3C
Q9CZB4	Apool	Putative uncharacterized protein
Q9GJN5	HLA-B	MHC class I antigen
Q9GZM5	YIPF3;C6orf109;KLIP1	Protein YIPF3
Q9GZN6	SLC6A16;NTT5	Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5
Q9GZP9	DERL2;DER2;FLANA;CGI-101;SBBI53	Derlin-2
Q9GZR7	DDX24	ATP-dependent RNA helicase DDX24
Q9GZS3	WDR61	WD repeat-containing protein 61
Q9GZS9	CHST5	Carbohydrate sulfotransferase 5
Q9GZT3	SLIRP;C14orf156;DC23;DC50;PD04872	SRA stem-loop-interacting RNA-binding protein, mitochondrial
Q9GZT6	CCDC90B;CUA003;MDS011;MDS025	Coiled-coil domain-containing protein 90B, mitochondrial
Q9GZT6-2	CCDC90B	Isoform 2 of Coiled-coil domain-containing protein 90B, mitochondrial
Q9GZT9	EGLN1;C1orf12;PNAS-118;PNAS-137	Egl nine homolog 1
Q9GZU1	MCOLN1;ML4;MSTP080	Mucolipin-1
Q9GZU7	CTDSP1;NIF3;NLIIF;SCP1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
Q9GZV4	EIF5A2	Eukaryotic translation initiation factor 5A-2
Q9GZY6	LAT2;LAB;NTAL;WBS15;WBSCR15;WBSCR5;HSPC046	Linker for activation of T-cells family member 2
Q9GZY8	MFF;C2orf33;AD030;AD033;GL004	Mitochondrial fission factor
Q9H061	TMEM126A	Transmembrane protein 126A
Q9H078	CLPB;HSP78;SKD3	Caseinolytic peptidase B protein homolog
Q9H089	LSG1	Large subunit GTPase 1 homolog
Q9H0A0	NAT10;ALP;KIAA1709	N-acetyltransferase 10
Q9H0B3	KIAA1683	Uncharacterized protein KIAA1683
Q9H0C2	SLC25A31;AAC4;ANT4;SFEC	ADP/ATP translocase 4
Q9H0C3	TMEM117	Transmembrane protein 117
Q9H0E2	TOLLIP	Toll-interacting protein
Q9H0G6	NA	Teashirt homolog 3
Q9H0H5	RACGAP1;KIAA1478;MGCRACGAP	Rac GTPase-activating protein 1
Q9H0K5	NA	Tetratricopeptide repeat protein 25
Q9H0S4	DDX47	Probable ATP-dependent RNA helicase DDX47
Q9H0S7	NA	Signal peptidase complex subunit 3
Q9H0U3	MAGT1;IAG2;PSEC0084;UNQ628/PRO1244	Magnesium transporter protein 1
Q9H0U4	RAB1B	Ras-related protein Rab-1B
Q9H0V9	LMAN2L;VIPL;PSEC0028;UNQ368/PRO704	VIP36-like protein
Q9H0X4	ITFG3;C16orf9	Protein ITFG3
Q9H0X9	OSBPL5;KIAA1534;OBPH1;ORP5	Oxysterol-binding protein-related protein 5
Q9H115	NAPB;SNAPB	Beta-soluble NSF attachment protein
Q9H131	NA	Mitofusin-2
Q9H160	ING2;ING1L	Inhibitor of growth protein 2
Q9H1C4	UNC93B1;UNC93;UNC93B	Protein unc-93 homolog B1
Q9H1C9	NA	Putative small GTP-binding protein
Q9H1E5	TMX4;KIAA1162;TXNDC13;PSEC0095;UNQ475/PRO938	Thioredoxin-related transmembrane protein 4
Q9H1H9	KIF13A;RBKIN	Kinesin-like protein KIF13A
Q9H1N2	NA	Reactive oxygen species modulator 1
Q9H223	EHD4;HCA10;HCA11;PAST4;FKSG7	EH domain-containing protein 4
Q9H246	C1orf21;PIG13	Uncharacterized protein C1orf21
Q9H251	CDH23;KIAA1774;KIAA1812;UNQ1894/PRO4340	Cadherin-23
Q9H270	VPS11;RNF108;PP3476	Vacuolar protein sorting-associated protein 11 homolog
Q9H272	NA	STE20-related kinase adapter protein alpha
Q9H299	SH3BGRL3;P1725	SH3 domain-binding glutamic acid-rich-like protein 3
Q9H2A9	CHST8	Carbohydrate sulfotransferase 8
Q9H2B2	SYT4;KIAA1342	Synaptotagmin-4
Q9H2M9	RAB3GAP2;KIAA0839	Rab3 GTPase-activating protein non-catalytic subunit
Q9H2P8	NA	Renin receptor
Q9H2T3	NA	Protein polybromo-1
Q9H2U1	DHX36;DDX36;KIAA1488;MLEL1;RHAU	ATP-dependent RNA helicase DHX36
Q9H2U2	PPA2;HSPC124	Inorganic pyrophosphatase 2, mitochondrial
Q9H2V7	SPNS1;SPIN1;PP20300	Protein spinster homolog 1
Q9H2V7-5	SPNS1	Isoform 5 of Protein spinster homolog 1
Q9H2W6	MRPL46;C15orf4;LIECG2	39S ribosomal protein L46, mitochondrial
Q9H307-2	PNN	Isoform 2 of Pinin
Q9H361	PABPC3;PABP3;PABPL3	Polyadenylate-binding protein 3
Q9H370	NA	Mitochondrial import inner membrane translocase subunit TIM50
Q9H3F6	KCTD10;ULR061;MSTP028	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3
Q9H3K2	GHITM;DERP2;MICS1;TMBIM5;My021;UNQ244/PRO281	Growth hormone-inducible transmembrane protein
Q9H3K6	BOLA2;BOLA2A;My016;BOLA2B	BolA-like protein 2
Q9H3N1	TMX1;TMX;TXNDC;TXNDC1;PSEC0085;UNQ235/PRO268	Thioredoxin-related transmembrane protein 1
Q9H3N4	NA	Cleft lip and palate transmembrane protein 1-like protein
Q9H3R0	KDM4C;GASC1;JHDM3C;JMJD2C;KIAA0780	Lysine-specific demethylase 4C
Q9H3U1	UNC45A;SMAP1	Protein unc-45 homolog A
Q9H3Z4	DNAJC5;CSP	DnaJ homolog subfamily C member 5
Q9H400	LIME1;LIME;LP8067	Lck-interacting transmembrane adapter 1
Q9H425	C1orf198	Uncharacterized protein C1orf198
Q9H444	CHMP4B;C20orf178;SHAX1	Charged multivesicular body protein 4b
Q9H490	PIGU;CDC91L1;PSEC0205;UNQ3055/PRO9875	Phosphatidylinositol glycan anchor biosynthesis class U protein
Q9H490-2	PIGU	Isoform 2 of Phosphatidylinositol glycan anchor biosynthesis class U protein
Q9H4A6	GOLPH3;GPP34	Golgi phosphoprotein 3
Q9H4A9	DPEP2;UNQ284/PRO323	Dipeptidase 2
Q9H4B7	TUBB1	Tubulin beta-1 chain
Q9H4B8	DPEP3;UNQ834/PRO1772	Dipeptidase 3
Q9H4E5	RHOJ;ARHJ;RASL7B;RHOI;TCL	Rho-related GTP-binding protein RhoJ
Q9H4E7	DEF6;IBP	Differentially expressed in FDCP 6 homolog
Q9H4G4	GLIPR2;C9orf19;GAPR1	Golgi-associated plant pathogenesis-related protein 1
Q9H4L9	NA	PDZ and LIM domain protein 2
Q9H4M9	EHD1;PAST;PAST1;CDABP0131	EH domain-containing protein 1
Q9H4V2	NA	DJ595C2.1.2 (KIAA0351)
Q9H553	ALG2;UNQ666/PRO1298	Alpha-1,3/1,6-mannosyltransferase ALG2
Q9H583	HEATR1;BAP28	HEAT repeat-containing protein 1
Q9H5K3	POMK;SGK196	Protein O-mannose kinase
Q9H5M7	NA	Atlastin-2
Q9H5V8	CDCP1;TRASK;UNQ2486/PRO5773	CUB domain-containing protein 1
Q9H5Y2	NA	Protein POF1B
Q9H6A9	PCNXL3	Pecanex-like protein 3
Q9H6B4	CLMP;ACAM;ASAM;UNQ318/PRO363	CXADR-like membrane protein
Q9H6B8	NA	DnaJ homolog subfamily C member 1
Q9H6C8	NA	Nuclear pore membrane glycoprotein 210
Q9H6U8	ALG9;DIBD1	Alpha-1,2-mannosyltransferase ALG9
Q9H6X2	ANTXR1;ATR;TEM8	Anthrax toxin receptor 1
Q9H741	C12orf49	UPF0454 protein C12orf49
Q9H7B4	SMYD3;ZMYND1;ZNFN3A1	Histone-lysine N-methyltransferase SMYD3
Q9H7G2	NA	Acyl-CoA synthetase family member 2, mitochondrial
Q9H7H0	METTL17;METT11D1	Methyltransferase-like protein 17, mitochondrial
Q9H7X0	NAA60;HAT4;NAT15;UNQ2771/PRO7155	N-alpha-acetyltransferase 60
Q9H7Z7	PTGES2;C9orf15;PGES2	Prostaglandin E synthase 2
Q9H845	ACAD9	Acyl-CoA dehydrogenase family member 9, mitochondrial
Q9H853	TUBA4B;TUBA4	Putative tubulin-like protein alpha-4B
Q9H857	NT5DC2	5'-nucleotidase domain-containing protein 2
Q9H8H3	METTL7A;PRO0066;UNQ1902/PRO4348	Methyltransferase-like protein 7A
Q9H8I6	NA	THO complex subunit 2
Q9H8L6	MMRN2;EMILIN3	Multimerin-2
Q9H910	HN1L;C16orf34;L11	Hematological and neurological expressed 1-like protein
Q9H936	SLC25A22;GC1	Mitochondrial glutamate carrier 1
Q9H9B4	SFXN1	Sideroflexin-1
Q9H9B7	NA	Coatomer subunit gamma
Q9H9H4	VPS37B	Vacuolar protein sorting-associated protein 37B
Q9H9J2	MRPL44	39S ribosomal protein L44, mitochondrial
Q9H9N1	NA	Kin of IRRE-like protein 1
Q9H9P8	L2HGDH;C14orf160	L-2-hydroxyglutarate dehydrogenase, mitochondrial
Q9H9Y6	POLR1B	DNA-directed RNA polymerase I subunit RPA2
Q9HA64	FN3KRP	Ketosamine-3-kinase
Q9HAC8	UBTD1	Ubiquitin domain-containing protein 1
Q9HAP4	NA	Polymerase I and transcript release factor
Q9HAR2	LPHN3;KIAA0768;LEC3	Latrophilin-3
Q9HAV0	GNB4	Guanine nucleotide-binding protein subunit beta-4
Q9HAV4	XPO5;KIAA1291;RANBP21	Exportin-5
Q9HAV7	GRPEL1;GREPEL1	GrpE protein homolog 1, mitochondrial
Q9HB40	SCPEP1;RISC;SCP1;MSTP034;UNQ265/PRO302	Retinoid-inducible serine carboxypeptidase
Q9HB71	CACYBP;S100A6BP;SIP;PNAS-107	Calcyclin-binding protein
Q9HB90	RRAGC	Ras-related GTP-binding protein C
Q9HB96	FANCE;FACE	Fanconi anemia group E protein
Q9HBD1	RC3H2;MNAB;RNF164	Roquin-2
Q9HBG4	ATP6V0A4;ATP6N1B;ATP6N2	V-type proton ATPase 116 kDa subunit a isoform 4
Q9HBH1	PDF;PDF1A	Peptide deformylase, mitochondrial
Q9HBH5	RDH14;PAN2;UNQ529/PRO1072	Retinol dehydrogenase 14
Q9HBI1	PARVB;CGI-56	Beta-parvin
Q9HBL7	PLGRKT;C9orf46;AD025;MDS030	Plasminogen receptor
Q9HBR0	SLC38A10;PP1744	Putative sodium-coupled neutral amino acid transporter 10
Q9HBU6	ETNK1;EKI1	Ethanolamine kinase 1
Q9HBW1	LRRC4;BAG;NAG14;UNQ554/PRO1111	Leucine-rich repeat-containing protein 4
Q9HC07	TMEM165;TPARL	Transmembrane protein 165
Q9HC10	OTOF;FER1L2	Otoferlin
Q9HC38	GLOD4;C17orf25;CGI-150;My027	Glyoxalase domain-containing protein 4
Q9HC86	NA	Prolyl 3-hydroxylase 1
Q9HCD5	NCOA5;KIAA1637	Nuclear receptor coactivator 5
Q9HCE1	MOV10;KIAA1631	Putative helicase MOV-10
Q9HCF4	NA	E3 ubiquitin-protein ligase RNF213
Q9HCJ1	ANKH;KIAA1581;UNQ241/PRO274	Progressive ankylosis protein homolog
Q9HCJ2	LRRC4C;KIAA1580;NGL1;UNQ292/PRO331	Leucine-rich repeat-containing protein 4C
Q9HCJ5	ZSWIM6;KIAA1577	Zinc finger SWIM domain-containing protein 6
Q9HCL1	NA	Uveal autoantigen with coiled-coil domains and ankyrin repeats
Q9HCM4-4	EPB41L5	Isoform 4 of Band 4.1-like protein 5
Q9HCN6	GP6	Platelet glycoprotein VI
Q9HCN8	SDF2L1;UNQ1941/PRO4424	Stromal cell-derived factor 2-like protein 1
Q9HCP0	CSNK1G1	Casein kinase I isoform gamma-1
Q9HCP6	HHATL;C3orf3;GUP1;KIAA1173	Protein-cysteine N-palmitoyltransferase HHAT-like protein
Q9HCU0	CD248;CD164L1;TEM1	Endosialin
Q9HCU4	CELSR2;CDHF10;EGFL2;KIAA0279;MEGF3	Cadherin EGF LAG seven-pass G-type receptor 2
Q9HCU5	PREB;SEC12	Prolactin regulatory element-binding protein
Q9HCY8	S100A14;S100A15	Protein S100-A14
Q9HD20	ATP13A1;ATP13A;KIAA1825;CGI-152	Manganese-transporting ATPase 13A1
Q9HD20-1	ATP13A1 	Manganese-transporting ATPase 13A1
Q9HD23-2	MRS2	Isoform 2 of Magnesium transporter MRS2 homolog, mitochondrial
Q9HD45	TM9SF3;SMBP;UNQ245/PRO282	Transmembrane 9 superfamily member 3
Q9HDC5	JPH1;JP1	Junctophilin-1
Q9HDC9	APMAP;C20orf3;UNQ1869/PRO4305	Adipocyte plasma membrane-associated protein
Q9HDC9-2	APMAP	Isoform 2 of Adipocyte plasma membrane-associated protein
Q9JIP8	NA	Lanosterol 14-alpha demethylase
Q9NP48	AGK; MULK	Acylglycerol kinase, mitochondrial
Q9NP58	ABCB6;MTABC3;PRP;UMAT	ATP-binding cassette sub-family B member 6, mitochondrial
Q9NP58-4	ABCB6	Isoform 2 of ATP-binding cassette sub-family B member 6, mitochondrial
Q9NP61	ARFGAP3;ARFGAP1	ADP-ribosylation factor GTPase-activating protein 3
Q9NP72	RAB18	Ras-related protein Rab-18
Q9NP73	ALG13;CXorf45;GLT28D1;MDS031	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13
Q9NP79	VTA1;C6orf55;HSPC228;My012	Vacuolar protein sorting-associated protein VTA1 homolog
Q9NP92	MRPS30;PDCD9;BM-047	28S ribosomal protein S30, mitochondrial
Q9NP95	FGF20	Fibroblast growth factor 20
Q9NP97	DYNLRB1;BITH;DNCL2A;DNLC2A;ROBLD1;HSPC162	Dynein light chain roadblock-type 1
Q9NPA0	EMC7;C11orf3;C15orf24;HT022;UNQ905/PRO1926	ER membrane protein complex subunit 7
Q9NPD7	NRN1;NRN	Neuritin
Q9NPF0	CD320;8D6A;UNQ198/PRO224	CD320 antigen
Q9NPF2	CHST11	Carbohydrate sulfotransferase 11
Q9NPI0	TMEM138;HSPC196;HSPC198	Transmembrane protein 138
Q9NPL8	TIMMDC1;C3orf1;UNQ247/PRO284	Complex I assembly factor TIMMDC1, mitochondrial
Q9NPQ8	RIC8A	Synembryn-A
Q9NPY3	CD93;C1QR1;MXRA4	Complement component C1q receptor
Q9NPY4	NA	Polypeptide N-acetylgalactosaminyltransferase 2
Q9NQ38	SPINK5	Serine protease inhibitor Kazal-type 5
Q9NQ39	RPS10P5;RPS10L	Putative 40S ribosomal protein S10-like
Q9NQ50	MRPL40;NLVCF;URIM	39S ribosomal protein L40, mitochondrial
Q9NQ84	GPRC5C;RAIG3;PSEC0087	G-protein coupled receptor family C group 5 member C
Q9NQA7	NA	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
Q9NQC3	RTN4;KIAA0886;NOGO;My043;SP1507	Reticulon-4
Q9NQC3-2	RTN4	Isoform 2 of Reticulon-4
Q9NQC7	CYLD;CYLD1;KIAA0849;HSPC057	Ubiquitin carboxyl-terminal hydrolase CYLD
Q9NQG5	RPRD1B;C20orf77;CREPT	Regulation of nuclear pre-mRNA domain-containing protein 1B
Q9NQQ7	SLC35C2;C20orf5;OVCOV1;CGI-15	Solute carrier family 35 member C2
Q9NQR5	NA	Solute carrier family 12 member 9
Q9NQT8	KIF13B;GAKIN;KIAA0639	Kinesin-like protein KIF13B
Q9NQV8	PRDM8;PFM5	PR domain zinc finger protein 8
Q9NQX3	GPHN;GPH;KIAA1385	Gephyrin
Q9NQX4	MYO5C	Unconventional myosin-Vc
Q9NQX7	ITM2C;BRI3;hucep-14;NPD018;PSEC0047	Integral membrane protein 2C
Q9NR11	ZNF302;ZNF135L;ZNF140L;ZNF327	Zinc finger protein 302
Q9NR12	PDLIM7;ENIGMA	PDZ and LIM domain protein 7
Q9NR13	NA	Histone-lysine N-methyltransferase 2C
Q9NR18	NA	Protein LAP2
Q9NR30	DDX21	Nucleolar RNA helicase 2
Q9NR30-2	DDX21	Isoform 2 of Nucleolar RNA helicase 2
Q9NR31	SAR1A;SAR1;SARA;SARA1	GTP-binding protein SAR1a
Q9NR50	EIF2B3	Translation initiation factor eIF-2B subunit gamma
Q9NR77	PXMP2;PMP22	Peroxisomal membrane protein 2
Q9NRG3	NA	Coiled-coil domain-containing protein 47
Q9NRK6	ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial
Q9NRL2-2	BAZ1A	Isoform 2 of Bromodomain adjacent to zinc finger domain protein 1A
Q9NRN6	NA	Protein FAM162A
Q9NRP0	OSTC;DC2;HDCMD45P;HSPC307	Oligosaccharyltransferase complex subunit OSTC
Q9NRQ2	PLSCR4;GIG43	Phospholipid scramblase 4
Q9NRR3	CDC42SE2;SPEC2	CDC42 small effector protein 2
Q9NRT4	NA	E3 ubiquitin-protein ligase CHFR
Q9NRV9	HEBP1;HBP	Heme-binding protein 1
Q9NRW1	RAB6B	Ras-related protein Rab-6B
Q9NRW7	VPS45;VPS45A;VPS45B	Vacuolar protein sorting-associated protein 45
Q9NRX2	MRPL17;LIP2	39S ribosomal protein L17, mitochondrial
Q9NRX4	PHPT1;PHP14;CGI-202;HSPC141	14 kDa phosphohistidine phosphatase
Q9NRX5	SERINC1;KIAA1253;TDE1L;TDE2;UNQ396/PRO732	Serine incorporator 1
Q9NS25	SPANXB1;SPANXB;SPANXB2;SPANXF1	Sperm protein associated with the nucleus on the X chromosome B/F
Q9NS26	SPANXA1;SPANXA;SPANXA2	Sperm protein associated with the nucleus on the X chromosome A
Q9NS69	TOMM22;TOM22	Mitochondrial import receptor subunit TOM22 homolog
Q9NSB4	KRT82;KRTHB2	Keratin, type II cuticular Hb2
Q9NSD9	FARSB;FARSLB;FRSB;HSPC173	Phenylalanine--tRNA ligase beta subunit
Q9NSE4	IARS2	Isoleucine--tRNA ligase, mitochondrial
Q9NSY0	NRBP2;PP9320;TRG16	Nuclear receptor-binding protein 2
Q9NSY1	BMP2K;BIKE;HRIHFB2017	BMP-2-inducible protein kinase
Q9NTI5-2	PDS5B	Isoform 2 of Sister chromatid cohesion protein PDS5 homolog B
Q9NTJ3	SMC4;CAPC;SMC4L1	Structural maintenance of chromosomes protein 4
Q9NTJ5	SACM1L;KIAA0851	Phosphatidylinositide phosphatase SAC1
Q9NTX9	FAM217B;C20orf177	Protein FAM217B
